track,artist,style
Namastute,Seedhe Maut,hardcore
Khatta Flow,Seedhe Maut,hardcore
Insaan,Siyaahi,conscious
Prashn,Vichaar,conscious
Khoj,Naam Sujal,experimental
No Losses,KR$NA,lyrical
Karm,KR$NA,lyrical
1 Se 23,Karma,hardcore
